catalunya; lleida, girona, tarragona, barcelona
aragon; teruel, huesca, barcelona
cantabria; cantabria
asturias; asturias
euskadi; alaba, vizcaya, gipuzcoa
navarra; navarra
galicia; a coruna, lugo, pontevedra, ourense
castilla leon; leon, zamora, salamanca, palencia, valladolid, avila, burgos, segovia, soria
la rioja; la rioja
extremadura; caceres, badajoz
madrid; madrid
murcia; murcia
comunitat valenciana; valencia, castello, alicant
balears; balears
canarias; tenerife, las palmas
andalucia; sevilla, cordoba, jaen, cadiz, malaga, granada, almeria, huelva
castilla la mancha; ciudad real, toledo, albacete, guadalajara, cuenca
ceuta; ceuta
melilla; melilla
